#SUBMITTED ID,FBID_KEY,ANNOTATION_SYMBOL,CYTOGENETIC_MAP,EXPERIMENTAL_CYTOLOGY,EXPERIMENTAL_RECOMBINATION_DATA,EXPERIMENTAL_RECOMBINATION_LEFT_OF,EXPERIMENTAL_RECOMBINATION_NOTE,EXPERIMENTAL_RECOMBINATION_RIGHT_OF,FEATURE_TYPE,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,MAPPED_FEATURES_MUTATIONS,NAME,RECOMBINATION_MAP,SYMBOL
FBgn0034470,FBgn0034470,CG11218,56E2-56E2,-,2-90 <newline> 2-95.0,-,-,-,SO0000010:protein_coding_gene,sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence or structural similarity with UniProtKB:P34174 <newline> sensory perception of smell ; GO:0007608 | inferred from expression pattern <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence alignment with UniProtKB:P34174 <newline> olfactory behavior ; GO:0042048 | inferred from sequence or structural similarity with UniProtKB:O02372 <newline> response to pheromone ; GO:0019236 | inferred from sequence or structural similarity with UniProtKB:O02372 <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence or structural similarity with lush,extracellular region ; GO:0005576 | inferred from sequence or structural similarity with UniProtKB:O02372 <newline> extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000220814 <newline> extracellular region ; GO:0005576 | inferred from sequence model,odorant binding ; GO:0005549 | inferred from sequence alignment with UniProtKB:P34174 <newline> odorant binding ; GO:0005549 | inferred from sequence or structural similarity with lush <newline> odorant binding ; GO:0005549 | inferred from sequence or structural similarity with UniProtKB:P34174,2R,19703915,19702924,-1,regulatory_region FBsf0000436812 2R:19703748..19706749 evidence=Reporter construct (in vivo),Odorant-binding protein 56d,Feb-90,Obp56d
FBgn0034479,FBgn0034479,CG8654,56F4-56F4,-,2-90 <newline> 2-95.4,-,-,-,SO0000010:protein_coding_gene,transmembrane transport ; GO:0055085 | inferred from electronic annotation with InterPro:IPR005828,integral component of membrane ; GO:0016021 | inferred from biological aspect of ancestor with PANTHER:PTN000756324,organic anion transmembrane transporter activity ; GO:0008514 | inferred from biological aspect of ancestor with PANTHER:PTN001936837,2R,19984895,19979242,1,-,-,Feb-90,CG8654
FBgn0034497,FBgn0034497,CG9090,56F15-56F16,-,2-90 <newline> 2-96.2,-,-,-,SO0000010:protein_coding_gene,mitochondrial transport ; GO:0006839 | inferred from biological aspect of ancestor with PANTHER:PTN000211803 <newline> phosphate ion transport ; GO:0006817 | inferred from sequence or structural similarity with UniProtKB:Q00325,mitochondrial envelope ; GO:0005740 | inferred from sequence or structural similarity with UniProtKB:Q00325 <newline> integral component of membrane ; GO:0016021 | inferred from biological aspect of ancestor with PANTHER:PTN000211803 <newline> mitochondrial inner membrane ; GO:0005743 | inferred from biological aspect of ancestor with PANTHER:PTN000211803,phosphate ion transmembrane transporter activity ; GO:0015114 | inferred from biological aspect of ancestor with PANTHER:PTN000639943 <newline> phosphate ion transmembrane transporter activity ; GO:0015114 | inferred from sequence or structural similarity with UniProtKB:Q00325,2R,20281127,20279066,-1,-,Mitochondrial phosphate carrier protein 1,Feb-90,Mpcp1
FBgn0034500,FBgn0034500,CG11200,56F16-56F16,-,2-90 <newline> 2-96.2,-,-,-,SO0000010:protein_coding_gene,-,endomembrane system ; GO:0012505 | inferred from high throughput direct assay,oxidoreductase activity ; GO:0016491 | inferred from biological aspect of ancestor with PANTHER:PTN000673029,2R,20308671,20304517,-1,-,Carbonyl reductase,Feb-90,CG11200
FBgn0034577,FBgn0034577,CG10540,57B16-57B16,-,2-92 <newline> 2-99.7,-,-,-,SO0000010:protein_coding_gene,negative regulation of filopodium assembly ; GO:0051490 | inferred from mutant phenotype <newline> cell morphogenesis ; GO:0000902 | inferred from mutant phenotype <newline> wing disc development ; GO:0035220 | inferred from mutant phenotype <newline> negative regulation of actin filament polymerization ; GO:0030837 | inferred from mutant phenotype <newline> regulation of filopodium assembly ; GO:0051489 | inferred from mutant phenotype <newline> microtubule-based movement ; GO:0007018 | inferred from sequence or structural similarity <newline> regulation of lamellipodium assembly ; GO:0010591 | inferred from mutant phenotype <newline> negative regulation of JNK cascade ; GO:0046329 | inferred from genetic interaction with cpb <newline> actin filament organization ; GO:0007015 | inferred from mutant phenotype <newline> barbed-end actin filament capping ; GO:0051016 | inferred from mutant phenotype <newline> germarium-derived oocyte fate determination ; GO:0007294 | inferred from mutant phenotype <newline> actin cytoskeleton organization ; GO:0030036 | inferred from mutant phenotype <newline> barbed-end actin filament capping ; GO:0051016 | inferred from sequence or structural similarity,adherens junction ; GO:0005912 | colocalizes_with inferred from direct assay <newline> dynactin complex ; GO:0005869 | inferred from sequence or structural similarity <newline> apical plasma membrane ; GO:0016324 | inferred from direct assay <newline> WASH complex ; GO:0071203 | inferred from sequence or structural similarity with UniProtKB:P52907 <newline> F-actin capping protein complex ; GO:0008290 | inferred from direct assay,protein heterodimerization activity ; GO:0046982 | inferred from physical interaction with cpb,2R,21059883,21057787,1,-,capping protein alpha,Feb-92,cpa
FBgn0034617,FBgn0034617,CG9754,57D11-57D11,-,2-94 <newline> 2-101.0,-,-,-,SO0000010:protein_coding_gene,piRNA biosynthetic process ; GO:1990511 | inferred from direct assay <newline> positive regulation of methylation-dependent chromatin silencing ; GO:0090309 | inferred from direct assay inferred from mutant phenotype,nucleus ; GO:0005634 | inferred from direct assay,molecular_function ; GO:0003674 | no biological data available,2R,21312354,21310368,-1,-,Panoramix,Feb-94,Panx
FBgn0034638,FBgn0034638,CG10433,57F3-57F3,-,2-96 <newline> 2-102.1,-,-,-,SO0000010:protein_coding_gene,multicellular organism reproduction ; GO:0032504 | inferred from high throughput expression pattern <newline> defense response ; GO:0006952 | inferred from sequence or structural similarity <newline> regulation of female receptivity ; GO:0045924 | inferred from mutant phenotype,extracellular space ; GO:0005615 | inferred from high throughput direct assay <newline> extracellular space ; GO:0005615 | inferred from sequence model,molecular_function ; GO:0003674 | no biological data available,2R,21608125,21605676,-1,-,-,Feb-96,CG10433
FBgn0034670,FBgn0034670,CG13488,58A4-58A4,-,2-97 <newline> 2-103.3,-,-,-,SO0000010:protein_coding_gene,-,-,-,2R,21952562,21951592,1,-,-,Feb-97,CG13488
FBgn0034709,FBgn0034709,CG3074,58C7-58D1,-,2-98 <newline> 2-103.8,-,-,-,SO0000010:protein_coding_gene,immune response ; GO:0006955 | inferred from electronic annotation with InterPro:IPR001212 <newline> proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR000668 <newline> positive regulation of canonical Wnt signaling pathway ; GO:0090263 | inferred from direct assay <newline> cell adhesion ; GO:0007155 | inferred from biological aspect of ancestor with PANTHER:PTN000274687 <newline> positive regulation of Wnt signaling pathway by establishment of Wnt protein localization to extracellular region ; GO:0035593 | inferred from mutant phenotype,extracellular space ; GO:0005615 | inferred from direct assay <newline> chorion ; GO:0042600 | inferred from direct assay,"cysteine-type peptidase activity ; GO:0008234 | inferred from electronic annotation with InterPro:IPR000668, InterPro:IPR013128 <newline> polysaccharide binding ; GO:0030247 | inferred from electronic annotation with InterPro:IPR001212 <newline> scavenger receptor activity ; GO:0005044 | inferred from electronic annotation with InterPro:IPR001212 <newline> Wnt-protein binding ; GO:0017147 | inferred from direct assay",2R,22202671,22189817,-1,-,Secreted Wg-interacting molecule,Feb-98,Swim
FBgn0034758,FBgn0034758,CG13510,58F4-58F4,-,2-100 <newline> 2-105.5,-,-,-,SO0000010:protein_coding_gene,cold acclimation ; GO:0009631 | inferred from expression pattern,cellular_component ; GO:0005575 | no biological data available,molecular_function ; GO:0003674 | no biological data available,2R,22661389,22657901,1,-,-,2-100,CG13510
FBgn0034959,FBgn0034959,CG11388,60B4-60B4,-,2-106 <newline> 2-109.9,-,-,-,SO0000010:protein_coding_gene,-,integral component of endoplasmic reticulum membrane ; GO:0030176 | inferred from sequence or structural similarity with UniProtKB:Q8NBI6,xylosyltransferase activity ; GO:0042285 | inferred from sequence or structural similarity with UniProtKB:Q9VBY3,2R,24023981,24022343,1,-,-,2-106,CG11388
FBgn0035022,FBgn0035022,CG11413,60D4-60D4,-,2-107 <newline> 2-111.0,-,-,-,SO0000010:protein_coding_gene,-,-,-,2R,24536791,24536190,1,-,-,2-107,CG11413
FBgn0035092,FBgn0035092,CG3441,60F1-60F1,-,2-107 <newline> 2-111.8,-,-,-,SO0000010:protein_coding_gene,neuropeptide signaling pathway ; GO:0007218 | non-traceable author statement <newline> positive regulation of cGMP-mediated signaling ; GO:0010753 | inferred from direct assay,extracellular region ; GO:0005576 | non-traceable author statement <newline> extracellular space ; GO:0005615 | inferred by curator from GO:0048018,neuropeptide hormone activity ; GO:0005184 | inferred from direct assay <newline> neuropeptide hormone activity ; GO:0005184 | non-traceable author statement <newline> receptor ligand activity ; GO:0048018 | inferred from physical interaction with Gyc76C,2R,25040377,25032377,1,-,Neuropeptide-like precursor 1,2-107,Nplp1
FBgn0035121,FBgn0035121,CG7008,61B3-61B3,-,3-0.0 <newline> 3-1,-,-,-,SO0000010:protein_coding_gene,gene silencing by RNA ; GO:0031047 | inferred from electronic annotation with InterPro:IPR016685 <newline> spermatogenesis ; GO:0007283 | inferred from mutant phenotype <newline> RNA catabolic process ; GO:0006401 | inferred from biological aspect of ancestor with PANTHER:PTN000266556 <newline> negative regulation of transposition ; GO:0010529 | inferred from genetic interaction with piwi,nucleus ; GO:0005634 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from direct assay <newline> cytosol ; GO:0005829 | inferred from high throughput direct assay <newline> RISC complex ; GO:0016442 | inferred from direct assay,nuclease activity ; GO:0004518 | inferred from direct assay,3L,264380,259043,-1,-,Tudor staphylococcal nuclease,1-Mar,Tudor-SN
FBgn0035186,FBgn0035186,CG13912,61F3-61F3,-,3-0 <newline> 3-1.3,-,-,-,SO0000010:protein_coding_gene,-,-,-,3L,1190472,1189588,1,-,-,Mar-00,CG13912
FBgn0035282,FBgn0035282,CG13936,62B7-62B7,-,3-1.0 <newline> 3-3.0,-,-,-,SO0000010:protein_coding_gene,G-protein coupled receptor signaling pathway ; GO:0007186 | inferred from direct assay,extracellular space ; GO:0005615 | inferred by curator from GO:0005184,neuropeptide hormone activity ; GO:0005184 | inferred from direct assay,3L,1855591,1850915,-1,-,CNMamide,3-1.0,CNMa
FBgn0035444,FBgn0035444,CG12012,63D2-63D2,-,3-8 <newline> 3-6.7,-,-,-,SO0000010:protein_coding_gene,-,-,-,3L,3377992,3376757,1,-,-,8-Mar,CG12012
FBgn0035471,FBgn0035471,CG10849,63F5-63F6,63F5-63F6; (determined by in situ hybridisation) <newline> 63F5-63F6,3-9 <newline> 3-8.4,-,-,-,SO0000010:protein_coding_gene,very long-chain fatty acid biosynthetic process ; GO:0042761 | inferred from biological aspect of ancestor with PANTHER:PTN000059180,integral component of membrane ; GO:0016021 | inferred from electronic annotation with InterPro:IPR001104 <newline> cytoplasm ; GO:0005737 | inferred from electronic annotation with InterPro:IPR001104 <newline> endomembrane system ; GO:0012505 | inferred from high throughput direct assay,"oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627 | inferred from electronic annotation with InterPro:IPR001104 <newline> oxidoreductase activity ; GO:0016491 | inferred from biological aspect of ancestor with PANTHER:PTN002238075",3L,3905035,3903492,1,-,Sc2,9-Mar,Sc2
FBgn0035600,FBgn0035600,CG4769,64C13-64C13,-,3-13 <newline> 3-13.0,-,-,-,SO0000010:protein_coding_gene,"mitochondrial ATP synthesis coupled proton transport ; GO:0042776 | inferred from biological aspect of ancestor with PANTHER:PTN000030137 <newline> mitochondrial electron transport, ubiquinol to cytochrome c ; GO:0006122 | inferred from sequence or structural similarity with UniProtKB:P08574 <newline> mitochondrial electron transport, ubiquinol to cytochrome c ; GO:0006122 | inferred from biological aspect of ancestor with PANTHER:PTN000030137",mitochondrial respiratory chain complex III ; GO:0005750 | inferred from sequence or structural similarity with UniProtKB:P08574 <newline> mitochondrion ; GO:0005739 | inferred from high throughput direct assay <newline> mitochondrial respiratory chain complex III ; GO:0005750 | inferred from biological aspect of ancestor with PANTHER:PTN002231577,"heme binding ; GO:0020037 | inferred from electronic annotation with InterPro:IPR002326, InterPro:IPR009056 <newline> electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity ; GO:0045153 | inferred from sequence or structural similarity with UniProtKB:P08574 <newline> electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity ; GO:0045153 | inferred from biological aspect of ancestor with PANTHER:PTN002231577 <newline> electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity ; GO:0045155 | inferred from biological aspect of ancestor with PANTHER:PTN002231577",3L,5362798,5360211,1,-,Cytochrome c1,13-Mar,Cyt-c1
FBgn0035632,FBgn0035632,CG10575,64E7-64E7,-,3-15 <newline> 3-13.8,-,-,-,SO0000010:protein_coding_gene,"ovarian follicle cell migration ; GO:0007297 | inferred from mutant phenotype <newline> cytoplasmic transport, nurse cell to oocyte ; GO:0007303 | inferred from mutant phenotype <newline> coenzyme A biosynthetic process ; GO:0015937 | inferred from sequence alignment with MGI:MGI:1918993 <newline> imaginal disc-derived wing morphogenesis ; GO:0007476 | inferred from mutant phenotype <newline> coenzyme A biosynthetic process ; GO:0015937 | inferred from biological aspect of ancestor with PANTHER:PTN000075336 <newline> triglyceride homeostasis ; GO:0070328 | inferred from mutant phenotype",-,ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR001977 <newline> dephospho-CoA kinase activity ; GO:0004140 | inferred from biological aspect of ancestor with PANTHER:PTN000075336 <newline> pantetheine-phosphate adenylyltransferase activity ; GO:0004595 | inferred from sequence alignment with MGI:MGI:1918993 <newline> dephospho-CoA kinase activity ; GO:0004140 | inferred from sequence alignment with MGI:MGI:1918993,3L,5768794,5767017,-1,-,Bifunctional Phosphopantetheine adenylyltransferase - Dephospho-CoA kinase,15-Mar,Ppat-Dpck
FBgn0035710,FBgn0035710,CG10121,65C1-65C3,65C1-65C2,3-17 <newline> 3-15.2,-,-,-,SO0000010:protein_coding_gene,biological_process ; GO:0008150 | no biological data available,cellular_component ; GO:0005575 | no biological data available,molecular_function ; GO:0003674 | no biological data available,3L,6703521,6689327,-1,-,SP1173,17-Mar,SP1173
FBgn0035806,FBgn0035806,CG7496,66A8-66A8,-,3-21 <newline> 3-17.7,-,-,-,SO0000010:protein_coding_gene,innate immune response ; GO:0045087 | inferred from electronic annotation with InterPro:IPR017331 <newline> peptidoglycan catabolic process ; GO:0009253 | NOT inferred from key residues <newline> defense response to Gram-negative bacterium ; GO:0050829 | inferred from mutant phenotype <newline> innate immune response ; GO:0045087 | non-traceable author statement <newline> defense response to Gram-positive bacterium ; GO:0050830 | inferred from direct assay inferred from mutant phenotype <newline> defense response to Gram-positive bacterium ; GO:0050830 | inferred from mutant phenotype <newline> positive regulation of peptidoglycan recognition protein signaling pathway ; GO:0061059 | inferred from mutant phenotype inferred from genetic interaction with PGRP-LC <newline> detection of peptidoglycan ; GO:0032499 | inferred from mutant phenotype,extracellular region ; GO:0005576 | inferred from direct assay <newline> extracellular space ; GO:0005615 | inferred from direct assay,zinc ion binding ; GO:0008270 | inferred from electronic annotation with InterPro:IPR006619 <newline> peptidoglycan binding ; GO:0042834 | inferred from direct assay <newline> peptidoglycan binding ; GO:0042834 | inferred from sequence or structural similarity with PGRP-SC1b <newline> N-acetylmuramoyl-L-alanine amidase activity ; GO:0008745 | NOT inferred from key residues,3L,7651900,7651180,1,-,Peptidoglycan recognition protein SD,21-Mar,PGRP-SD
FBgn0035849,FBgn0035849,CG7404,66B11-66B11,-,3-22 <newline> 3-19.0,-,-,-,SO0000010:protein_coding_gene,steroid hormone mediated signaling pathway ; GO:0043401 | inferred from electronic annotation with InterPro:IPR000536 <newline> carbohydrate metabolic process ; GO:0005975 | inferred from direct assay <newline> spermatogenesis ; GO:0007283 | inferred from mutant phenotype <newline> regulation of transcription from RNA polymerase II promoter ; GO:0006357 | inferred from mutant phenotype,nucleus ; GO:0005634 | inferred from sequence or structural similarity with UniProtKB:P03372,"transcription factor activity, sequence-specific DNA binding ; GO:0003700 | inferred from electronic annotation with InterPro:IPR001628 <newline> steroid hormone receptor activity ; GO:0003707 | inferred from electronic annotation with InterPro:IPR001723, InterPro:IPR024178, InterPro:IPR027289 <newline> zinc ion binding ; GO:0008270 | inferred from electronic annotation with InterPro:IPR001628, InterPro:IPR013088, InterPro:IPR024178 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR001628 <newline> steroid binding ; GO:0005496 | inferred from electronic annotation with InterPro:IPR024178, InterPro:IPR027289 <newline> nuclear receptor activity ; GO:0004879 | non-traceable author statement",3L,8186671,8183361,-1,-,estrogen-related receptor,22-Mar,ERR
FBgn0035982,FBgn0035982,CG4461,67B2-67B2,-,3-29 <newline> 3-23.0,-,-,-,SO0000010:protein_coding_gene,response to heat ; GO:0009408 | inferred from direct assay <newline> chaperone-mediated protein folding ; GO:0061077 | inferred from sequence model,cellular_component ; GO:0005575 | no biological data available,unfolded protein binding ; GO:0051082 | inferred from sequence model,3L,9376293,9375430,1,-,-,29-Mar,CG4461
FBgn0036023,FBgn0036023,CG18179,67C3-67C3,-,3-31 <newline> 3-23.7,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> proteolysis ; GO:0006508 | inferred from sequence model",-,"serine-type endopeptidase activity ; GO:0004252 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> serine-type endopeptidase activity ; GO:0004252 | inferred from sequence model",3L,9640140,9639271,1,-,-,31-Mar,CG18179
FBgn0036024,FBgn0036024,CG18180,67C3-67C3,-,3-31 <newline> 3-23.7,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> proteolysis ; GO:0006508 | inferred from sequence model",-,"serine-type endopeptidase activity ; GO:0004252 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> serine-type endopeptidase activity ; GO:0004252 | inferred from sequence model",3L,9641913,9641013,1,-,-,31-Mar,CG18180
FBgn0036194,FBgn0036194,CG11652,68D2-68D2,-,3-36 <newline> 3-30.1,-,-,-,SO0000010:protein_coding_gene,peptidyl-diphthamide biosynthetic process from peptidyl-histidine ; GO:0017183 | inferred from biological aspect of ancestor with PANTHER:PTN000079945 <newline> peptidyl-diphthamide biosynthetic process from peptidyl-histidine ; GO:0017183 | inferred from sequence or structural similarity with SGD:S000001365,cytoplasm ; GO:0005737 | inferred from sequence or structural similarity with SGD:S000001365,molecular_function ; GO:0003674 | no biological data available,3L,11696963,11693879,-1,-,-,Mar-36,CG11652
FBgn0036262,FBgn0036262,CG6910,69A1-69A1,-,3-38 <newline> 3-30.9,-,-,-,SO0000010:protein_coding_gene,oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR007828 <newline> inositol catabolic process ; GO:0019310 | inferred from electronic annotation with InterPro:IPR007828,cytoplasm ; GO:0005737 | inferred from electronic annotation with InterPro:IPR007828,inositol oxygenase activity ; GO:0050113 | inferred from electronic annotation with InterPro:IPR007828 <newline> iron ion binding ; GO:0005506 | inferred from electronic annotation with InterPro:IPR007828,3L,12187860,12184984,1,-,-,Mar-38,CG6910
FBgn0036271,FBgn0036271,CG10335,69A4-69A4,-,3-38 <newline> 3-31.1,-,-,-,SO0000010:protein_coding_gene,heme biosynthetic process ; GO:0006783 | inferred from biological aspect of ancestor with PANTHER:PTN000156046,cytosol ; GO:0005829 | inferred from biological aspect of ancestor with PANTHER:PTN000156046,porphobilinogen synthase activity ; GO:0004655 | inferred from direct assay <newline> zinc ion binding ; GO:0008270 | inferred from biological aspect of ancestor with PANTHER:PTN000156046,3L,12271345,12269452,-1,-,Porphobilinogen synthase,Mar-38,Pbgs
FBgn0036289,FBgn0036289,CG10657,69C3-69C3,-,3-38 <newline> 3-31.9,-,-,-,SO0000010:protein_coding_gene,lateral inhibition ; GO:0046331 | inferred from mutant phenotype,-,-,3L,12497216,12491830,-1,-,-,Mar-38,CG10657
FBgn0036320,FBgn0036320,CG10943,69E6-69E6,-,3-39 <newline> 3-33.5,-,-,-,SO0000010:protein_coding_gene,-,-,-,3L,12862920,12861717,-1,-,-,Mar-39,CG10943
FBgn0036362,FBgn0036362,CG10725,70B1-70B1,-,3-40 <newline> 3-34.7,-,-,-,SO0000010:protein_coding_gene,chitin metabolic process ; GO:0006030 | inferred from electronic annotation with InterPro:IPR002557,extracellular region ; GO:0005576 | inferred from electronic annotation with InterPro:IPR002557,chitin binding ; GO:0008061 | inferred from electronic annotation with InterPro:IPR002557,3L,13439009,13437954,1,-,-,Mar-40,CG10725
FBgn0036364,FBgn0036364,CG14109,70B1-70B1,-,3-40 <newline> 3-34.7,-,-,-,SO0000010:protein_coding_gene,-,-,-,3L,13442420,13440910,1,-,-,Mar-40,CG14109
FBgn0036381,FBgn0036381,CG8745,70C5-70C5,-,3-41 <newline> 3-35.1,-,-,-,SO0000010:protein_coding_gene,response to nicotine ; GO:0035094 | inferred from expression pattern,mitochondrion ; GO:0005739 | inferred from biological aspect of ancestor with PANTHER:PTN000241036,pyridoxal phosphate binding ; GO:0030170 | inferred from biological aspect of ancestor with PANTHER:PTN000241033 <newline> alanine-glyoxylate transaminase activity ; GO:0008453 | inferred from biological aspect of ancestor with PANTHER:PTN000241036 <newline> identical protein binding ; GO:0042802 | inferred from biological aspect of ancestor with PANTHER:PTN000241033,3L,13866905,13860027,-1,-,-,Mar-41,CG8745
FBgn0036727,FBgn0036727,CG7589,74C3-74C3,-,3-45 <newline> 3-40.8,-,-,-,SO0000010:protein_coding_gene,"ion transmembrane transport ; GO:0034220 | inferred from electronic annotation with InterPro:IPR006028, InterPro:IPR006201 <newline> synaptic transmission, glycinergic ; GO:0060012 | inferred from genetic interaction with Grd, CG12344 <newline> regulation of circadian rhythm ; GO:0042752 | inferred from mutant phenotype inferred from genetic interaction with Grd, CG12344 <newline> negative regulation of neuronal action potential ; GO:1904456 | inferred from mutant phenotype","integral component of membrane ; GO:0016021 | inferred from electronic annotation with InterPro:IPR006028, InterPro:IPR006201","extracellular ligand-gated ion channel activity ; GO:0005230 | inferred from electronic annotation with InterPro:IPR006202 <newline> transmembrane signaling receptor activity ; GO:0004888 | inferred from electronic annotation with InterPro:IPR006028, InterPro:IPR006201 <newline> glycine-gated chloride ion channel activity ; GO:0022852 | traceable author statement <newline> chloride channel activity ; GO:0005254 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN001055382",3L,17474517,17470127,1,-,-,Mar-45,CG7589
FBgn0036805,FBgn0036805,CG4108,75D6-75D6,-,3-45 <newline> 3-41.8,-,-,-,SO0000010:protein_coding_gene,vacuolar transport ; GO:0007034 | inferred from electronic annotation with InterPro:IPR005024 <newline> endosome transport via multivesicular body sorting pathway ; GO:0032509 | inferred from sequence or structural similarity with SGD:S000006435 <newline> negative regulation of epidermal growth factor receptor signaling pathway ; GO:0042059 | inferred from genetic interaction with vn inferred from genetic interaction with aos inferred from genetic interaction with sty inferred from genetic interaction with kek1,late endosome ; GO:0005770 | inferred from sequence or structural similarity with SGD:S000006435 <newline> late endosome ; GO:0005770 | inferred from direct assay <newline> ESCRT III complex ; GO:0000815 | non-traceable author statement <newline> apical part of cell ; GO:0045177 | inferred from direct assay,molecular_function ; GO:0003674 | no biological data available,3L,18684061,18682895,-1,-,Charged multivesicular body protein 1,Mar-45,Chmp1
FBgn0036811,FBgn0036811,CG6884,75D8-75D8,-,3-45 <newline> 3-41.9,-,-,-,SO0000010:protein_coding_gene,transcription from RNA polymerase II promoter ; GO:0006366 | inferred from mutant phenotype <newline> negative regulation of neuroblast proliferation ; GO:0007406 | inferred from mutant phenotype <newline> regulation of transcription from RNA polymerase II promoter ; GO:0006357 | inferred from sequence or structural similarity with HGNC:11473,mediator complex ; GO:0016592 | inferred from direct assay <newline> nucleus ; GO:0005634 | inferred from direct assay,RNA polymerase II transcription cofactor activity ; GO:0001104 | inferred from electronic annotation with InterPro:IPR019404 <newline> RNA polymerase II transcription cofactor activity ; GO:0001104 | contributes_to inferred by curator from GO:0016592 <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q8MSX2 inferred from physical interaction with UniProtKB:Q9VEC1 <newline> transcription coactivator activity ; GO:0003713 | inferred from sequence or structural similarity with HGNC:11473,3L,18746623,18745856,1,-,Mediator complex subunit 11,Mar-45,MED11
FBgn0036824,FBgn0036824,CG3902,75E4-75E4,-,3-45 <newline> 3-42.0,-,-,-,SO0000010:protein_coding_gene,"oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR006089, InterPro:IPR006091, InterPro:IPR009075, InterPro:IPR009100, InterPro:IPR013786",cytosol ; GO:0005829 | inferred from high throughput direct assay <newline> mitochondrion ; GO:0005739 | inferred from high throughput direct assay,"acyl-CoA dehydrogenase activity ; GO:0003995 | inferred from electronic annotation with InterPro:IPR006089, InterPro:IPR006091 <newline> flavin adenine dinucleotide binding ; GO:0050660 | inferred from electronic annotation with InterPro:IPR013786",3L,18898293,18893120,-1,-,-,Mar-45,CG3902
FBgn0036875,FBgn0036875,CG9449,76B5-76B5,-,3-45 <newline> 3-42.8,-,-,-,SO0000010:protein_coding_gene,dephosphorylation ; GO:0016311 | inferred from sequence or structural similarity with HGNC:125,extracellular exosome ; GO:0070062 | inferred from sequence or structural similarity with HGNC:125 <newline> nucleus ; GO:0005634 | inferred from sequence or structural similarity with HGNC:125,acid phosphatase activity ; GO:0003993 | inferred from sequence or structural similarity with HGNC:125,3L,19497723,19492053,-1,-,-,Mar-45,CG9449
FBgn0036945,FBgn0036945,CG6981,77A1-77A1,-,3-47 <newline> 3-43.5,-,-,-,SO0000010:protein_coding_gene,establishment of endothelial barrier ; GO:0061028 | inferred from mutant phenotype <newline> intestinal epithelial cell development ; GO:0060576 | inferred from mutant phenotype <newline> septate junction assembly ; GO:0019991 | inferred from mutant phenotype <newline> anterior midgut development ; GO:0007496 | inferred from mutant phenotype,integral component of plasma membrane ; GO:0005887 | inferred from direct assay <newline> smooth septate junction ; GO:0005920 | inferred from direct assay,protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:O46101 <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q0KHY3,3L,20189779,20188522,1,-,Snakeskin,Mar-47,Ssk
FBgn0036997,FBgn0036997,CG5955,77C4-77C4,-,3-47 <newline> 3-43.6,-,-,-,SO0000010:protein_coding_gene,-,-,catalytic activity ; GO:0003824 | inferred from electronic annotation with InterPro:IPR001509 <newline> coenzyme binding ; GO:0050662 | inferred from electronic annotation with InterPro:IPR001509,3L,20469592,20466944,1,-,-,Mar-47,CG5955
FBgn0037102,FBgn0037102,CG7172,78D6-78D6,-,3-47 <newline> 3-43.8,-,-,-,SO0000010:protein_coding_gene,cell cycle ; GO:0007049 | inferred from electronic annotation with InterPro:IPR018472 <newline> positive regulation of production of siRNA involved in RNA interference ; GO:1903705 | inferred from mutant phenotype <newline> cellular response to virus ; GO:0098586 | inferred from mutant phenotype <newline> positive regulation of RNA interference ; GO:1900370 | inferred from mutant phenotype,nucleus ; GO:0005634 | inferred from electronic annotation with InterPro:IPR018472 <newline> perinuclear region of cytoplasm ; GO:0048471 | inferred from direct assay,-,3L,21568898,21568059,-1,-,CR6-interacting factor,Mar-47,CRIF
